global_frame_idx,day_str,video_path,video_name,frame_idx_in_video,frame_time,timestamp_ms
123,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,123,20190701-000101500,1561932061500
124,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,124,20190701-000102000,1561932062000
125,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,125,20190701-000102500,1561932062500
126,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,126,20190701-000103000,1561932063000
127,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,127,20190701-000103500,1561932063500
128,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,128,20190701-000104000,1561932064000
129,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,129,20190701-000104500,1561932064500
130,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,130,20190701-000105000,1561932065000
131,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,131,20190701-000105500,1561932065500
132,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,132,20190701-000106000,1561932066000
133,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,133,20190701-000106500,1561932066500
134,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,134,20190701-000107000,1561932067000
135,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,135,20190701-000107500,1561932067500
